farm_name,lat,lon,E_utm,N_utm
13-10,31.53060546485728,48.75163028929624,286529.670075,3490599.83225
13-12,31.530358784813764,48.75433646637106,286786.10589999997,3490567.20855
13-14,31.53011778104883,48.75697974710438,287036.58267499995,3490535.34295
13-16,31.529872295587445,48.759671546426496,287291.65805,3490502.8923000004
13-18,31.529625925627894,48.7623724022634,287547.592625,3490470.33235
13-20,31.5293829561325,48.765035349821055,287799.935975,3490438.229275
13-22,31.529141725956332,48.76767861556006,288050.415225,3490406.3633499998
13-24,31.528894697286603,48.77038478146769,288306.855975,3490373.7390250005
13-26,31.52865335513964,48.77302802607971,288557.335175,3490341.8731
13-28,31.52845176322378,48.77530638802154,288773.252725,3490315.1243749997
14-01,31.51366350116194,48.73493237846236,284905.0745,3488754.0941
14-02,31.522906016289376,48.73607900259906,285035.164475,3489776.5938
14-03,31.51391200090945,48.73220311275059,284646.407,3488787.0091
14-04,31.523154530328814,48.733349467971514,284776.49700000003,3489809.5091
14-05,31.514152502933968,48.729560095400984,284395.9145,3488818.8741
14-06,31.523395043550376,48.73070619000432,284526.00450000004,3489841.3741
14-07,31.51439868974404,48.7268543657395,284139.4795,3488851.4991
14-08,31.52364124180315,48.72800019353372,284269.5695,3489873.9991
14-09,31.514639127721367,48.724211484791034,283889.002,3488883.3691000002
14-10,31.52388169046973,48.72535702565446,284019.0895,3489905.8691000002
14-11,31.514885198536746,48.721505655371615,283632.5595,3488915.9941
14-12,31.524127773156323,48.72265095571174,283762.6495,3489938.4941
14-13,31.515125479037273,48.71886272887542,283382.0795,3488947.8591
14-14,31.524368064775334,48.72000776857607,283512.1695,3489970.3591
14-15,31.515367563408063,48.71620016470226,283129.73949999997,3488979.9691
14-16,31.52461016032766,48.71734494181951,283259.8295,3490002.4691
14-17,31.5156155695969,48.713470906538916,282871.0795,3489012.8741
14-18,31.52485817795784,48.71461541448686,283001.1695,3490035.3741
14-19,31.515857495211794,48.71080832285662,282618.7395,3489044.9791
14-20,31.5251001147147,48.711952568203294,282748.8295,3490067.4791
14-21,31.51609759691241,48.70816535468327,282368.2595,3489076.8491
14-22,31.52534022745578,48.70930933935569,282498.3495,3490099.3491
14-23,31.51634332438879,48.7054594892565,282111.8195,3489109.4741
14-24,31.5255859662154,48.706603207043095,282241.9095,3490131.9741
14-25,31.51658326906427,48.70281650193801,281861.3395,3489141.3391
14-26,31.525825921892398,48.70395995903278,281991.4295,3490163.8391
14-27,31.51682749802093,48.70012644213796,281606.3995,3489173.7791
14-28,31.52606235217257,48.701355695852534,281744.644875,3490195.241625
15-01,31.522570446442458,48.73977028940729,285384.97650000005,3489732.1475
15-02,31.513327822863694,48.738624887749246,285255.036925,3488709.630925
15-03,31.522320113122444,48.74251858638144,285645.4245,3489699.0091
15-04,31.513077623623122,48.741371379793854,285515.3395,3488676.5091
15-05,31.522079368488047,48.74516173227981,285895.908775,3489667.1460249997
15-06,31.512836872121998,48.74401422055086,285765.8195,3488644.6441
15-07,31.521832783436903,48.74786756448137,286152.3345,3489634.5191
15-08,31.51259031678846,48.7467198305814,286022.24950000003,3488612.0191
15-09,31.521591953324414,48.75051061794377,286402.812,3489602.6591000003
15-10,31.512349498459372,48.749362649806585,286272.7295,3488580.1591000003
15-11,31.521345249744698,48.753216500602214,286659.24450000003,3489570.0316000003
15-12,31.51210278394966,48.75206826627376,286529.162,3488547.5291
15-13,31.521104285155797,48.75585953410987,286909.722,3489538.1690999996
15-14,31.511861853258413,48.75471103871325,286779.6395,3488515.6690999996
15-15,31.520858794724447,48.758551097350264,287164.7995,3489505.7166
15-16,31.511616328413723,48.75740228510935,287034.712,3488483.2116
15-17,31.520612457384082,48.76125164480218,287420.72949999996,3489473.1591
15-18,31.511370049180652,48.76010264422869,287290.6495,3488450.6591
15-19,31.520369482071967,48.763914354084,287673.0745,3489441.0541
15-20,31.511127053639,48.76276585509182,287543.067,3488418.5491
15-21,31.52012827154325,48.76655737336256,287923.5545,3489409.1891
15-22,31.510885885358768,48.76540779723189,287793.4695,3488386.6891
15-23,31.519881225566465,48.769263271861995,288179.99450000003,3489376.5615999997
15-24,31.510638829031496,48.76811345589086,288049.912,3488354.0590999997
15-25,31.51963992519447,48.771906243710475,288430.472,3489344.6991
15-26,31.51039756267435,48.77075616672772,288300.3895,3488322.1991
15-27,31.51039756267435,48.77075616672772,288300.3895,3488322.1991
15-28,31.51007376464112,48.773263740201216,288537.84586000006,3488281.4556
16-01,31.495444147831055,48.73267275485469,284648.65052499995,3486738.4900749996
16-02,31.504673842870893,48.73381740029913,284778.554525,3487759.569
16-03,31.495692344890323,48.72994398894251,284389.97949999996,3486771.3741
16-04,31.504929093365003,48.73108820623168,284519.88450000004,3487793.2341
16-05,31.495932824428273,48.72730145869875,284139.48449999996,3486803.2391
16-06,31.50516282342123,48.728445631964085,284269.39450000005,3487824.3491
16-07,31.496178988735526,48.72459625464399,283883.04949999996,3486835.8641
16-08,31.505408999120743,48.72574016169766,284012.9595,3487856.9741
16-09,31.496419359225975,48.72195386189795,283632.5695,3486867.7291
16-10,31.505649358181035,48.7230975094598,283762.47949999996,3487888.8366
16-11,31.496665408085068,48.719248584441026,283376.12950000004,3486900.3541
16-12,31.505895440931173,48.72039196522155,283506.03949999996,3487921.4641
16-13,31.496905689259005,48.716606170850866,283125.6495,3486932.2216000003
16-14,31.506135710636087,48.717749292123514,283255.5595,3487953.3290999997
16-15,31.497145362581023,48.713944182113536,282873.3095,3486964.0666
16-16,31.50637773907354,48.715086984335485,283003.2195,3487985.4341
16-17,31.49739562310947,48.711215425104335,282614.652,3486997.2241
16-18,31.50662568907698,48.71235798896286,282744.5595,3488018.3341
16-19,31.497637572361896,48.70855338394736,282362.3145,3487029.3340999996
16-20,31.506867648950177,48.7096956594889,282492.2195,3488050.4441
16-21,31.497877552765075,48.70591040542184,282111.7845,3487061.1941
16-22,31.507107649778497,48.707052946950675,282241.73949999997,3488082.3041
16-23,31.49812331256536,48.70320559073394,281855.39450000005,3487093.8241
16-24,31.507353411375966,48.70434733989652,281985.29949999996,3488114.9341
16-25,31.498363189585863,48.70056306547095,281604.90949999995,3487125.6841
16-26,31.50759330029364,48.70170460713317,281734.8195,3488146.7940999996
16-27,31.498616636801724,48.697771802720226,281340.327,3487159.3515999997
16-28,31.507837518397828,48.69901480530731,281479.87950000004,3488179.2341000005
17-01,31.50433757993194,48.73751093911244,285128.647,3487715.0365999998
17-02,31.495107489113973,48.73636742619624,284998.88417499996,3486693.9091250002
17-03,31.504087540209163,48.740255689735626,285388.8095,3487681.9341
17-04,31.49485759257747,48.739110433394025,285258.907,3486660.8241
17-05,31.503846799664622,48.742898277154595,285639.2895,3487650.0691
17-06,31.4946168628001,48.74175273452686,285509.38450000004,3486628.9591
17-07,31.503600255567346,48.74560362783801,285895.7195,3487617.4441
17-08,31.49437033068533,48.744457845364764,285765.81700000004,3486596.3340999996
17-09,31.50335944823277,48.74824619374204,286146.1995,3487585.5840999996
17-10,31.494129466541494,48.7471001266218,286016.29449999996,3486564.4666
17-11,31.503112744535652,48.75095152457095,286402.62950000004,3487552.9540999997
17-12,31.493882842482098,48.749805216001434,286272.72699999996,3486531.8441000003
17-13,31.5028718253393,48.75359407001506,286653.1095,3487521.0941000003
17-14,31.493641934132956,48.75244747519429,286523.2045,3486499.9841
17-15,31.502626334748886,48.75628508423942,286908.1845,3487488.6391000003
17-16,31.493396410001715,48.75513822578883,286778.27950000006,3486467.5241
17-17,31.502380043827106,48.758985158785435,287164.11950000003,3487456.0841
17-18,31.511370049180652,48.76010264422869,287290.6495,3488450.6591
17-19,31.502137067729265,48.76164729838416,287416.4595,3487423.9766
17-20,31.511127053639,48.76276585509182,287543.067,3488418.5491
17-21,31.501895902285217,48.764289803359794,287666.9395,3487392.1141
17-22,31.510885885358768,48.76540779723189,287793.4695,3488386.6891
17-23,31.501648856890746,48.76699517642288,287923.37950000004,3487359.4841
17-24,31.510638829031496,48.76811345589086,288049.912,3488354.0590999997
17-25,31.501407602138876,48.76963766031543,288173.8595,3487327.6241
17-26,31.51039756267435,48.77075616672772,288300.3895,3488322.1991
17-27,31.500540212048215,48.77250619533344,288444.40362000006,3487225.91282
17-28,31.49180864213859,48.771412742051936,288320.84674000007,3486259.93748
18-01,31.477235029241584,48.73041463869824,284392.331475,3484724.02425
18-02,31.48646501117076,48.73155938165463,284522.276675,3485745.13155
18-03,31.47748344371268,48.72768680732277,284133.6995,3484756.9341
18-04,31.48671345491351,48.72883091113295,284263.6095,3485778.0440999996
18-05,31.477723902711613,48.72504486863336,283883.212,3484788.7991
18-06,31.48695392362434,48.72618863374,284013.1145,3485809.9091
18-07,31.477970044129894,48.722340163112534,283626.7745,3484821.4241
18-08,31.48720007686716,48.72348368854046,283756.67949999997,3485842.5341
18-09,31.478210511412268,48.719696957281535,283376.1688,3484853.3048749994
18-10,31.487440436569027,48.72084154864698,283506.1995,3485874.3991
18-11,31.47845641927371,48.71699353044968,283119.8545,3484885.9140999997
18-12,31.48769098208232,48.71813642058667,283249.7595,3485907.5241
18-13,31.478696654714398,48.71435155120784,282869.367,3484917.7791
